E (eV),sigma (barns)
278.54141632417634,3.742162302401777e-06
297.1295818577334,3.741522928372739e-06
316.95820887261215,3.7726840067019037e-06
338.1100782480682,3.804769280898855e-06
360.6734951574032,3.837986730470299e-06
384.74265772584977,3.874112024373123e-06
410.41805029047094,3.910704341179201e-06
437.80686290381755,3.949112663984072e-06
467.02343883273306,3.9878982076504505e-06
498.1897519205165,4.027064676989378e-06
531.4359158053252,4.0819856452379235e-06
566.9007271207433,4.143776081141634e-06
604.7322449462655,4.206501860356419e-06
645.0884089267686,4.273649995775617e-06
688.137698641567,4.343512929129373e-06
734.0598369757226,4.414517937632384e-06
783.0465404301183,4.4978789200109576e-06
835.3023195026788,4.584624104874842e-06
891.0453324821503,4.673042239862741e-06
950.5082962189512,4.767039410699124e-06
1013.9394576752939,4.87283675994896e-06
1081.6036303107094,4.980982124002929e-06
1153.783299629662,5.091527613557219e-06
1230.7798025066634,5.206588027993152e-06
1312.9145852124652,5.334929531527485e-06
1400.5305453932226,5.466434631152173e-06
1493.9934636052562,5.5997102482091475e-06
1593.693530381776,5.735809114309271e-06
1700.0469752067147,5.875215812517245e-06
1813.4978041964953,6.023004115548258e-06
1934.5196537440481,6.1774588488337374e-06
2063.6177678638564,6.335874440218689e-06
2201.3311074930325,6.5083684715569274e-06
2348.2346005542813,6.696259280153488e-06
2504.9415421745025,6.8893100553381965e-06
2672.106155079438,7.087151837082962e-06
2850.4263208534317,7.29067508334151e-06
3040.6464934670685,7.500038170417243e-06
3243.560807235818,7.715412737885522e-06
3460.016392185109,7.936972101118577e-06
3690.9169106627824,8.163906296330687e-06
3937.226329963475,8.397228064461685e-06
4199.9729467153065,8.637336407240164e-06
4480.253679829499,8.884799588571315e-06
4779.238649935595,9.139352690131005e-06
5098.17606442043,9.394294911425393e-06
5438.39742846479,9.685188305658175e-06
5801.323103833379,9.989714462306846e-06
6188.468238624396,1.0303815670793076e-05
6601.449092734883,1.0627792994311863e-05
7041.989785449296,1.0961956962226097e-05
7511.929493320953,1.1306627867706006e-05
8013.230128396886,1.1662136074727395e-05
8547.984528840423,1.2028822334722522e-05
9118.425196146562,1.2407038113187304e-05
9726.933615426178,1.2797145926557848e-05
10376.05019766914,1.3204645969584763e-05
11068.48488549412,1.3631267432703385e-05
11807.128466661916,1.4071672368185679e-05
12595.064642583564,1.4526306098470389e-05
13435.582902208263,1.4995628333668036e-05
14332.192255035769,1.5480113636403805e-05
