#LIBRARY    ENDF/B-VIII.0
#REACTION   H-1(N,G)H-2,SIG
#NUCLEUS    H-1
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 3.72841E+06 3.66955E-05  Lin-Lin
 6.21402E+06 3.41376E-05  Lin-Lin
 7.24969E+06 3.32533E-05  Lin-Lin
 8.74153E+06 3.21889E-05  Lin-Lin
 1E+07       3.14376E-05  Lin-Lin
 1.01411E+07 3.13686E-05  Lin-Lin
 1.02842E+07 3.12986E-05  Lin-Lin
 1.04292E+07 3.12277E-05  Lin-Lin
 1.05764E+07 3.11558E-05  Lin-Lin
 1.07256E+07 3.10828E-05  Lin-Lin
 1.08769E+07 3.10089E-05  Lin-Lin
 1.10304E+07 3.09338E-05  Lin-Lin
 1.1186E+07  3.08578E-05  Lin-Lin
 1.13438E+07 3.07806E-05  Lin-Lin
 1.15038E+07 3.07024E-05  Lin-Lin
 1.16661E+07 3.0623E-05   Lin-Lin
 1.18307E+07 3.05426E-05  Lin-Lin
 1.19976E+07 3.0461E-05   Lin-Lin
 1.21669E+07 3.03782E-05  Lin-Lin
 1.23386E+07 3.02943E-05  Lin-Lin
 1.25E+07    3.02154E-05  Lin-Lin
 1.26764E+07 3.01422E-05  Lin-Lin
 1.28552E+07 3.0068E-05   Lin-Lin
 1.30366E+07 2.99927E-05  Lin-Lin
 1.32205E+07 2.99164E-05  Lin-Lin
 1.3407E+07  2.9839E-05   Lin-Lin
 1.35961E+07 2.97604E-05  Lin-Lin
 1.3788E+07  2.96808E-05  Lin-Lin
 1.39825E+07 2.96001E-05  Lin-Lin
 1.41798E+07 2.95182E-05  Lin-Lin
 1.43798E+07 2.94352E-05  Lin-Lin
 1.45827E+07 2.9351E-05   Lin-Lin
 1.47884E+07 2.92656E-05  Lin-Lin
 1.4997E+07  2.9179E-05   Lin-Lin
 1.52086E+07 2.90912E-05  Lin-Lin
 1.54232E+07 2.90021E-05  Lin-Lin
 1.56408E+07 2.89118E-05  Lin-Lin
 1.58615E+07 2.88203E-05  Lin-Lin
 1.60852E+07 2.87274E-05  Lin-Lin
 1.63122E+07 2.86332E-05  Lin-Lin
 1.65423E+07 2.85377E-05  Lin-Lin
 1.67757E+07 2.84408E-05  Lin-Lin
 1.70124E+07 2.83426E-05  Lin-Lin
 1.72524E+07 2.8243E-05   Lin-Lin
 1.74958E+07 2.81419E-05  Lin-Lin
 1.77426E+07 2.80395E-05  Lin-Lin
 1.79929E+07 2.79356E-05  Lin-Lin
 1.82468E+07 2.78302E-05  Lin-Lin
 1.85042E+07 2.77234E-05  Lin-Lin
 1.87653E+07 2.7615E-05   Lin-Lin
 1.9E+07     2.75176E-05  Lin-Lin
 1.92681E+07 2.74078E-05  Lin-Lin
 1.95399E+07 2.72964E-05  Lin-Lin
 1.98156E+07 2.71835E-05  Lin-Lin
 2E+07       2.71079E-05  Lin-Lin
#END
